Text,Words,Algorithm,Time
generate/texte_2.txt,generate/mots_2_5_15.txt,ac-matrice,.103469911
generate/texte_2.txt,generate/mots_2_5_15.txt,ac-hachage,.235863718
generate/texte_2.txt,generate/mots_2_15_30.txt,ac-matrice,.100066010
generate/texte_2.txt,generate/mots_2_15_30.txt,ac-hachage,.242322811
generate/texte_2.txt,generate/mots_2_35_40.txt,ac-matrice,.101221990
generate/texte_2.txt,generate/mots_2_35_40.txt,ac-hachage,.241174970
generate/texte_2.txt,generate/mots_2_30_60.txt,ac-matrice,.107130460
generate/texte_2.txt,generate/mots_2_30_60.txt,ac-hachage,.250957490
generate/texte_2.txt,generate/mots_2_80_90.txt,ac-matrice,.112193013
generate/texte_2.txt,generate/mots_2_80_90.txt,ac-hachage,.264133147
generate/texte_4.txt,generate/mots_4_5_15.txt,ac-matrice,.085260069
generate/texte_4.txt,generate/mots_4_5_15.txt,ac-hachage,.224456164
generate/texte_4.txt,generate/mots_4_15_30.txt,ac-matrice,.092372355
generate/texte_4.txt,generate/mots_4_15_30.txt,ac-hachage,.237884518
generate/texte_4.txt,generate/mots_4_35_40.txt,ac-matrice,.099380968
generate/texte_4.txt,generate/mots_4_35_40.txt,ac-hachage,.247373996
generate/texte_4.txt,generate/mots_4_30_60.txt,ac-matrice,.096985824
generate/texte_4.txt,generate/mots_4_30_60.txt,ac-hachage,.252141877
generate/texte_4.txt,generate/mots_4_80_90.txt,ac-matrice,.104949345
generate/texte_4.txt,generate/mots_4_80_90.txt,ac-hachage,.258356073
generate/texte_10.txt,generate/mots_10_5_15.txt,ac-matrice,.081340280
generate/texte_10.txt,generate/mots_10_5_15.txt,ac-hachage,.192792671
generate/texte_10.txt,generate/mots_10_15_30.txt,ac-matrice,.095765860
generate/texte_10.txt,generate/mots_10_15_30.txt,ac-hachage,.199249657
generate/texte_10.txt,generate/mots_10_35_40.txt,ac-matrice,.087659151
generate/texte_10.txt,generate/mots_10_35_40.txt,ac-hachage,.211649645
generate/texte_10.txt,generate/mots_10_30_60.txt,ac-matrice,.091147784
generate/texte_10.txt,generate/mots_10_30_60.txt,ac-hachage,.214961748
generate/texte_10.txt,generate/mots_10_80_90.txt,ac-matrice,.096294116
generate/texte_10.txt,generate/mots_10_80_90.txt,ac-hachage,.222853932
generate/texte_20.txt,generate/mots_20_5_15.txt,ac-matrice,.065983776
generate/texte_20.txt,generate/mots_20_5_15.txt,ac-hachage,.157080147
generate/texte_20.txt,generate/mots_20_15_30.txt,ac-matrice,.078492778
generate/texte_20.txt,generate/mots_20_15_30.txt,ac-hachage,.164107599
generate/texte_20.txt,generate/mots_20_35_40.txt,ac-matrice,.075917975
generate/texte_20.txt,generate/mots_20_35_40.txt,ac-hachage,.183537514
generate/texte_20.txt,generate/mots_20_30_60.txt,ac-matrice,.077123723
generate/texte_20.txt,generate/mots_20_30_60.txt,ac-hachage,.182473432
generate/texte_20.txt,generate/mots_20_80_90.txt,ac-matrice,.087540594
generate/texte_20.txt,generate/mots_20_80_90.txt,ac-hachage,.189227162
generate/texte_30.txt,generate/mots_30_5_15.txt,ac-matrice,.059135774
generate/texte_30.txt,generate/mots_30_5_15.txt,ac-hachage,.145643510
generate/texte_30.txt,generate/mots_30_15_30.txt,ac-matrice,.064372403
generate/texte_30.txt,generate/mots_30_15_30.txt,ac-hachage,.148512326
generate/texte_30.txt,generate/mots_30_35_40.txt,ac-matrice,.067388269
generate/texte_30.txt,generate/mots_30_35_40.txt,ac-hachage,.150490001
generate/texte_30.txt,generate/mots_30_30_60.txt,ac-matrice,.069580211
generate/texte_30.txt,generate/mots_30_30_60.txt,ac-hachage,.157530960
generate/texte_30.txt,generate/mots_30_80_90.txt,ac-matrice,.074304842
generate/texte_30.txt,generate/mots_30_80_90.txt,ac-hachage,.179451817
generate/texte_40.txt,generate/mots_40_5_15.txt,ac-matrice,.063204690
generate/texte_40.txt,generate/mots_40_5_15.txt,ac-hachage,.142047680
generate/texte_40.txt,generate/mots_40_15_30.txt,ac-matrice,.067046381
generate/texte_40.txt,generate/mots_40_15_30.txt,ac-hachage,.147728213
generate/texte_40.txt,generate/mots_40_35_40.txt,ac-matrice,.067672445
generate/texte_40.txt,generate/mots_40_35_40.txt,ac-hachage,.145908771
generate/texte_40.txt,generate/mots_40_30_60.txt,ac-matrice,.070825116
generate/texte_40.txt,generate/mots_40_30_60.txt,ac-hachage,.150311835
generate/texte_40.txt,generate/mots_40_80_90.txt,ac-matrice,.080232588
generate/texte_40.txt,generate/mots_40_80_90.txt,ac-hachage,.172893220
generate/texte_50.txt,generate/mots_50_5_15.txt,ac-matrice,.071231697
generate/texte_50.txt,generate/mots_50_5_15.txt,ac-hachage,.144959039
generate/texte_50.txt,generate/mots_50_15_30.txt,ac-matrice,.067182278
generate/texte_50.txt,generate/mots_50_15_30.txt,ac-hachage,.149126790
generate/texte_50.txt,generate/mots_50_35_40.txt,ac-matrice,.071880683
generate/texte_50.txt,generate/mots_50_35_40.txt,ac-hachage,.163406961
generate/texte_50.txt,generate/mots_50_30_60.txt,ac-matrice,.078433119
generate/texte_50.txt,generate/mots_50_30_60.txt,ac-hachage,.176576139
generate/texte_50.txt,generate/mots_50_80_90.txt,ac-matrice,.081095931
generate/texte_50.txt,generate/mots_50_80_90.txt,ac-hachage,.192562299
generate/texte_60.txt,generate/mots_60_5_15.txt,ac-matrice,.073591606
generate/texte_60.txt,generate/mots_60_5_15.txt,ac-hachage,.138904859
generate/texte_60.txt,generate/mots_60_15_30.txt,ac-matrice,.073053955
generate/texte_60.txt,generate/mots_60_15_30.txt,ac-hachage,.148932535
generate/texte_60.txt,generate/mots_60_35_40.txt,ac-matrice,.072628855
generate/texte_60.txt,generate/mots_60_35_40.txt,ac-hachage,.143518321
generate/texte_60.txt,generate/mots_60_30_60.txt,ac-matrice,.071468410
generate/texte_60.txt,generate/mots_60_30_60.txt,ac-hachage,.148197132
generate/texte_60.txt,generate/mots_60_80_90.txt,ac-matrice,.076902866
generate/texte_60.txt,generate/mots_60_80_90.txt,ac-hachage,.165581163
generate/texte_70.txt,generate/mots_70_5_15.txt,ac-matrice,.065228242
generate/texte_70.txt,generate/mots_70_5_15.txt,ac-hachage,.136118463
generate/texte_70.txt,generate/mots_70_15_30.txt,ac-matrice,.065141911
generate/texte_70.txt,generate/mots_70_15_30.txt,ac-hachage,.136868136
generate/texte_70.txt,generate/mots_70_35_40.txt,ac-matrice,.068105260
generate/texte_70.txt,generate/mots_70_35_40.txt,ac-hachage,.147219936
generate/texte_70.txt,generate/mots_70_30_60.txt,ac-matrice,.071950474
generate/texte_70.txt,generate/mots_70_30_60.txt,ac-hachage,.148983416
generate/texte_70.txt,generate/mots_70_80_90.txt,ac-matrice,.079261474
generate/texte_70.txt,generate/mots_70_80_90.txt,ac-hachage,.163869070
